"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"Wichita Falls",3,34,55775,48934,9855,2.41,82860,14529,23061,3688,1503
"Winston-Salem",3,34.7,112520,128712,24302,2.47,139301,87480,38321,6484,1415
"Yuma",3,33.4,48298,45847,19326,2.64,69691,3731,57054,1180,1228
"Alameda",2,41.4,37747,40867,18841,2.52,44232,7364,8265,27984,1329
"Avondale",2,29.1,38712,41971,8355,3.18,62176,11592,34716,2828,613
"Bismarck",2,38,34675,35565,2064,2.11,64719,1700,1667,930,4040
"Brooklyn Park",2,35.1,37845,41305,17490,2.85,41760,22550,4138,14443,1173
"Broomfield",2,36.8,31755,33310,5316,2.53,58341,1154,8065,5193,601
"Carrollton",2,36.9,66928,66218,35327,2.78,102948,10923,46850,18456,812
"Chino",2,36.5,50989,34610,18666,3.62,44543,6815,45495,12948,4790
"Chino Hills",2,41.9,39639,38674,24764,3.05,40030,3506,22539,28132,1773
"Deltona",2,39.9,44853,43621,7098,2.89,75686,12056,31357,1292,651
"Edmond",2,32.5,45191,44899,5585,2.68,78979,4987,6187,5349,8051
"Evansville",2,38,57198,60481,3169,2.25,100055,17564,3263,1376,713
"Everett",2,37,56212,51800,19499,2.36,88395,8304,15889,9807,3645
"Flint",2,35.3,48984,49313,2138,2.38,44786,55137,2525,657,1508
"Gainesville",2,26,60803,69330,15272,2.33,87612,32912,12208,11963,740
"Grand Prairie",2,33.1,90811,96944,44888,3.18,113981,54934,85543,11446,1754
"Grand Rapids",2,32.1,95669,99430,19176,2.56,143702,42256,31282,6057,3436
"Irving",2,32.3,117189,119428,86756,2.78,132779,30356,97862,49421,2960
"Kenosha",2,36.3,49349,50507,7443,2.55,84780,11915,18772,2537,1264
"Killeen",2,29.2,69442,71367,15769,2.72,75823,54601,32600,8183,2362
"Largo",2,45.1,38166,42841,10489,2.28,73502,5860,9561,3249,881
"Lee's Summit",2,36.8,48353,46715,3803,2.68,82915,7100,4504,3013,1251
"Macon",2,36,71833,81626,4846,2.46,64117,84569,4897,3588,682
"Manchester",2,37.3,54845,55378,14506,2.4,100108,6896,11962,4304,558
